# U  Del  E
-8.2823  0.4495  -5.0450
-8.2503  0.4492  -5.0321
-8.2182  0.4488  -5.0192
-8.1862  0.4485  -5.0063
-8.1542  0.4481  -4.9934
-8.1221  0.4478  -4.9806
-8.0901  0.4474  -4.9677
-8.0581  0.4471  -4.9549
-8.0260  0.4467  -4.9421
-7.9940  0.4463  -4.9294
-7.9620  0.4459  -4.9166
-7.9299  0.4456  -4.9039
-7.8979  0.4452  -4.8912
-7.8659  0.4448  -4.8785
-7.8338  0.4444  -4.8658
-7.8018  0.4440  -4.8532
-7.7698  0.4436  -4.8406
-7.7377  0.4432  -4.8280
-7.7057  0.4428  -4.8154
-7.6737  0.4424  -4.8028
-7.6416  0.4420  -4.7903
-7.6096  0.4416  -4.7778
-7.5776  0.4412  -4.7653
-7.5455  0.4407  -4.7529
-7.5135  0.4403  -4.7405
-7.4815  0.4399  -4.7280
-7.4494  0.4394  -4.7157
-7.4174  0.4390  -4.7033
-7.3854  0.4386  -4.6910
-7.3534  0.4381  -4.6787
-7.3213  0.4376  -4.6664
-7.2893  0.4372  -4.6541
-7.2573  0.4367  -4.6419
-7.2252  0.4362  -4.6297
-7.1932  0.4358  -4.6175
-7.1612  0.4353  -4.6054
-7.1291  0.4348  -4.5932
-7.0971  0.4343  -4.5811
-7.0651  0.4338  -4.5691
-7.0330  0.4333  -4.5570
-7.0010  0.4328  -4.5450
-6.9690  0.4323  -4.5330
-6.9369  0.4318  -4.5211
-6.9049  0.4312  -4.5091
-6.8729  0.4307  -4.4973
-6.8408  0.4302  -4.4854
-6.8088  0.4296  -4.4735
-6.7768  0.4291  -4.4617
-6.7447  0.4285  -4.4500
-6.7127  0.4280  -4.4382
-6.6807  0.4274  -4.4265
-6.6486  0.4268  -4.4148
-6.6166  0.4262  -4.4032
-6.5846  0.4257  -4.3915
-6.5526  0.4251  -4.3799
-6.5205  0.4245  -4.3684
-6.4885  0.4239  -4.3569
-6.4565  0.4233  -4.3454
-6.4244  0.4226  -4.3339
-6.3924  0.4220  -4.3225
-6.3604  0.4214  -4.3111
-6.3283  0.4207  -4.2997
-6.2963  0.4201  -4.2884
-6.2643  0.4194  -4.2771
-6.2322  0.4188  -4.2659
-6.2002  0.4181  -4.2547
-6.1682  0.4174  -4.2435
-6.1361  0.4167  -4.2323
-6.1041  0.4160  -4.2212
-6.0721  0.4153  -4.2102
-6.0400  0.4146  -4.1991
-6.0080  0.4139  -4.1881
-5.9760  0.4132  -4.1772
-5.9439  0.4125  -4.1663
-5.9119  0.4117  -4.1554
-5.8799  0.4110  -4.1445
-5.8478  0.4102  -4.1338
-5.8158  0.4094  -4.1230
-5.7838  0.4086  -4.1123
-5.7518  0.4078  -4.1016
-5.7197  0.4070  -4.0910
-5.6877  0.4062  -4.0804
-5.6557  0.4054  -4.0698
-5.6236  0.4046  -4.0593
-5.5916  0.4037  -4.0489
-5.5596  0.4029  -4.0384
-5.5275  0.4020  -4.0281
-5.4955  0.4012  -4.0177
-5.4635  0.4003  -4.0074
-5.4314  0.3994  -3.9972
-5.3994  0.3985  -3.9870
-5.3674  0.3976  -3.9769
-5.3353  0.3966  -3.9668
-5.3033  0.3957  -3.9567
-5.2713  0.3948  -3.9467
-5.2392  0.3938  -3.9367
-5.2072  0.3928  -3.9268
-5.1752  0.3918  -3.9170
-5.1431  0.3909  -3.9072
-5.1111  0.3898  -3.8974
-5.0791  0.3888  -3.8877
-5.0470  0.3878  -3.8780
-5.0150  0.3867  -3.8684
-4.9830  0.3857  -3.8589
-4.9510  0.3846  -3.8494
-4.9189  0.3835  -3.8399
-4.8869  0.3824  -3.8305
-4.8549  0.3813  -3.8212
-4.8228  0.3801  -3.8119
-4.7908  0.3790  -3.8027
-4.7588  0.3778  -3.7935
-4.7267  0.3767  -3.7844
-4.6947  0.3755  -3.7753
-4.6627  0.3743  -3.7663
-4.6306  0.3730  -3.7574
-4.5986  0.3718  -3.7485
-4.5666  0.3706  -3.7397
-4.5345  0.3693  -3.7309
-4.5025  0.3680  -3.7222
-4.4705  0.3667  -3.7136
-4.4384  0.3654  -3.7050
-4.4064  0.3640  -3.6965
-4.3744  0.3627  -3.6880
-4.3423  0.3613  -3.6796
-4.3103  0.3599  -3.6713
-4.2783  0.3585  -3.6630
-4.2462  0.3571  -3.6548
-4.2142  0.3556  -3.6467
-4.1822  0.3541  -3.6386
-4.1502  0.3526  -3.6306
-4.1181  0.3511  -3.6227
-4.0861  0.3496  -3.6148
-4.0541  0.3480  -3.6071
-4.0220  0.3465  -3.5993
-3.9900  0.3449  -3.5917
-3.9580  0.3433  -3.5841
-3.9259  0.3416  -3.5766
-3.8939  0.3400  -3.5691
-3.8619  0.3383  -3.5618
-3.8298  0.3366  -3.5545
-3.7978  0.3348  -3.5473
-3.7658  0.3331  -3.5401
-3.7337  0.3313  -3.5331
